7e:65    Счетчик ручных прочисток
61:19    Счетчик прочисток по таймеру
2f:00    Счетчик проходов печатающей головки
2e:02    ^^^
2d:48    ^^^
2c:b3    ^^^
9f:0a    Счетчик отпечатанных страниц
9e:cd    ^^^
a1:00    Счетчик отпечатанных страниц(дуплекс)
a0:90    ^^^
4b:00    Счетчик отпечатанных CD-R дисков
4a:00    ^^^
a3:00    Счетчик открытия/закрытия лотка CD-R
a2:08    ^^^
01dd:00  Счетчик отсканированных страниц
01dc:00  ^^^
01db:00  ^^^
01da:a6  ^^^
3b:0a    Код последней фатальной ошибки принтера 1
c0:09    Код последней фатальной ошибки принтера 2
c1:0a    Код последней фатальной ошибки принтера 3
c2:f4    Код последней фатальной ошибки принтера 4
c3:f4    Код последней фатальной ошибки принтера 5
5c:03    Код последней фатальной ошибки сканера 1
66:01    Счетчик замены картриджей для черного цвета (S)
67:00    Счетчик замены картриджей для черного цвета (2S)
62:00    Счетчик замены картриджей для черного цвета (3S)
70:01    Счетчик замены картриджей для жёлтого цвета (S)
71:00    Счетчик замены картриджей для жёлтого цвета (2S)
ab:00    Счетчик замены картриджей для жёлтого цвета (3S)
68:01    Счетчик замены картриджей для пурпурного цвета (S)
69:00    Счетчик замены картриджей для пурпурного цвета (2S)
63:00    Счетчик замены картриджей для пурпурного цвета (3S)
6c:01    Счетчик замены картриджей для голубого цвета (S)
6d:00    Счетчик замены картриджей для голубого цвета (2S)
65:00    Счетчик замены картриджей для голубого цвета (3S)
6a:01    Счетчик замены картриджей для светло-пурпурного цвета (S)
6b:00    Счетчик замены картриджей для светло-пурпурного цвета (2S)
64:00    Счетчик замены картриджей для светло-пурпурного цвета (3S)
6e:01    Счетчик замены картриджей для светло-голубого цвета (S)
6f:00    Счетчик замены картриджей для светло-голубого цвета (2S)
9b:00    Счетчик замены картриджей для светло-голубого цвета (3S)
e7:4e    Серийный номер
e8:39    ^^^
e9:34    ^^^
ea:59    ^^^
eb:31    ^^^
ec:31    ^^^
ed:39    ^^^
ee:37    ^^^
ef:39    ^^^
f0:35    ^^^
*.118.105.1.0.0 Версия прошивки WS22G4

